groupHeader3_GroupColumn	groupHeader4_GroupColumn	groupHeader5_GroupColumn	groupHeader6_GroupColumn	groupHeader7_GroupColumn	groupHeader8_GroupColumn	groupHeader9_GroupColumn	groupHeader10_GroupColumn	groupHeader11_GroupColumn	detail_WBS1	detail_WBS2	detail_Name	detail_OrgName	detail_Fee	detail_FeeDirLab	detail_ReimbAllow	groupFooter11_GroupColumn	groupFooter11_Fee	groupFooter11_FeeDirLab	groupFooter11_ReimbAllow	groupFooter10_GroupColumn	groupFooter10_Fee	groupFooter10_FeeDirLab	groupFooter10_ReimbAllow	groupFooter9_GroupColumn	groupFooter9_Fee	groupFooter9_FeeDirLab	groupFooter9_ReimbAllow	groupFooter8_GroupColumn	groupFooter8_Fee	groupFooter8_FeeDirLab	groupFooter8_ReimbAllow	groupFooter7_GroupColumn	groupFooter7_Fee	groupFooter7_FeeDirLab	groupFooter7_ReimbAllow	groupFooter6_GroupColumn	groupFooter6_Fee	groupFooter6_FeeDirLab	groupFooter6_ReimbAllow	groupFooter5_GroupColumn	groupFooter5_Fee	groupFooter5_FeeDirLab	groupFooter5_ReimbAllow	groupFooter4_GroupColumn	groupFooter4_Fee	groupFooter4_FeeDirLab	groupFooter4_ReimbAllow	groupFooter3_GroupColumn	groupFooter3_Fee	groupFooter3_FeeDirLab	groupFooter3_ReimbAllow
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	0100380.00.0	 	BPS Capital Advisory Services	Austin Studio 01	"141,500.00"	"141,500.00"		Total for 10/2/2023	"141,500.00"	"141,500.00"		Total for Real	"141,500.00"	"141,500.00"		Total for MA	"141,500.00"	"141,500.00"		Total for Roxbury	"141,500.00"	"141,500.00"		Total for BPS Capital Advisory Services	"141,500.00"	"141,500.00"		Total for Active	"141,500.00"	"141,500.00"		Total for K12 Education	"141,500.00"	"141,500.00"		Total for 6/7/2024	"141,500.00"	"141,500.00"		Total for 8/12/2023	"141,500.00"	"141,500.00"	
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	0100380.00.0	30	Advisory Services	Austin Studio 01	"141,500.00"	"141,500.00"		Total for 10/2/2023	"141,500.00"	"141,500.00"		Total for Real	"141,500.00"	"141,500.00"		Total for MA	"141,500.00"	"141,500.00"		Total for Roxbury	"141,500.00"	"141,500.00"		Total for BPS Capital Advisory Services	"141,500.00"	"141,500.00"		Total for Active	"141,500.00"	"141,500.00"		Total for K12 Education	"141,500.00"	"141,500.00"		Total for 6/7/2024	"141,500.00"	"141,500.00"		Total for 8/12/2023	"141,500.00"	"141,500.00"	
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	0100380.00.0	999	Unassigned Labor & Expenses	Austin Studio 01				Total for 10/2/2023				Total for Real				Total for MA				Total for Roxbury				Total for BPS Capital Advisory Services				Total for Active				Total for K12 Education				Total for 6/7/2024				Total for 8/12/2023			
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	 	East Side Union HSD Master Plan	San Francisco Studio 01	"348,000.00"	"348,000.00"		Total for 2/12/2024	"348,000.00"	"348,000.00"		Total for Real	"348,000.00"	"348,000.00"		Total for CA	"348,000.00"	"348,000.00"		Total for San Jose	"348,000.00"	"348,000.00"		Total for East Side Union HSD Master Plan	"348,000.00"	"348,000.00"		Total for Active	"348,000.00"	"348,000.00"		Total for K12 Education	"348,000.00"	"348,000.00"		Total for 9/19/2025	"348,000.00"	"348,000.00"		Total for 2/27/2024	"348,000.00"	"348,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	100	Project Initiation/Data Analysis	San Francisco Studio 01	"123,000.00"	"123,000.00"		Total for 2/12/2024	"123,000.00"	"123,000.00"		Total for Real	"123,000.00"	"123,000.00"		Total for CA	"123,000.00"	"123,000.00"		Total for San Jose	"123,000.00"	"123,000.00"		Total for East Side Union HSD Master Plan	"123,000.00"	"123,000.00"		Total for Active	"123,000.00"	"123,000.00"		Total for K12 Education	"123,000.00"	"123,000.00"		Total for 9/19/2025	"123,000.00"	"123,000.00"		Total for 2/27/2024	"123,000.00"	"123,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	200	Facility Standards	San Francisco Studio 01	"30,000.00"	"30,000.00"		Total for 2/12/2024	"30,000.00"	"30,000.00"		Total for Real	"30,000.00"	"30,000.00"		Total for CA	"30,000.00"	"30,000.00"		Total for San Jose	"30,000.00"	"30,000.00"		Total for East Side Union HSD Master Plan	"30,000.00"	"30,000.00"		Total for Active	"30,000.00"	"30,000.00"		Total for K12 Education	"30,000.00"	"30,000.00"		Total for 9/19/2025	"30,000.00"	"30,000.00"		Total for 2/27/2024	"30,000.00"	"30,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	300	Facility Assessments	San Francisco Studio 01	"53,000.00"	"53,000.00"		Total for 2/12/2024	"53,000.00"	"53,000.00"		Total for Real	"53,000.00"	"53,000.00"		Total for CA	"53,000.00"	"53,000.00"		Total for San Jose	"53,000.00"	"53,000.00"		Total for East Side Union HSD Master Plan	"53,000.00"	"53,000.00"		Total for Active	"53,000.00"	"53,000.00"		Total for K12 Education	"53,000.00"	"53,000.00"		Total for 9/19/2025	"53,000.00"	"53,000.00"		Total for 2/27/2024	"53,000.00"	"53,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	301	IEQ Assessments (Optional)	San Francisco Studio 01	"30,000.00"	"30,000.00"		Total for 2/12/2024	"30,000.00"	"30,000.00"		Total for Real	"30,000.00"	"30,000.00"		Total for CA	"30,000.00"	"30,000.00"		Total for San Jose	"30,000.00"	"30,000.00"		Total for East Side Union HSD Master Plan	"30,000.00"	"30,000.00"		Total for Active	"30,000.00"	"30,000.00"		Total for K12 Education	"30,000.00"	"30,000.00"		Total for 9/19/2025	"30,000.00"	"30,000.00"		Total for 2/27/2024	"30,000.00"	"30,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	400	Master Plan Scenarios	San Francisco Studio 01	"33,000.00"	"33,000.00"		Total for 2/12/2024	"33,000.00"	"33,000.00"		Total for Real	"33,000.00"	"33,000.00"		Total for CA	"33,000.00"	"33,000.00"		Total for San Jose	"33,000.00"	"33,000.00"		Total for East Side Union HSD Master Plan	"33,000.00"	"33,000.00"		Total for Active	"33,000.00"	"33,000.00"		Total for K12 Education	"33,000.00"	"33,000.00"		Total for 9/19/2025	"33,000.00"	"33,000.00"		Total for 2/27/2024	"33,000.00"	"33,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	0101910.00.0	500	Cost Estimating	San Francisco Studio 01	"20,000.00"	"20,000.00"		Total for 2/12/2024	"20,000.00"	"20,000.00"		Total for Real	"20,000.00"	"20,000.00"		Total for CA	"20,000.00"	"20,000.00"		Total for San Jose	"20,000.00"	"20,000.00"		Total for East Side Union HSD Master Plan	"20,000.00"	"20,000.00"		Total for Active	"20,000.00"	"20,000.00"		Total for K12 Education	"20,000.00"	"20,000.00"		Total for 9/19/2025	"20,000.00"	"20,000.00"		Total for 2/27/2024	"20,000.00"	"20,000.00"	
