Start_Date	Completion_Date	groupHeader5_GroupColumn	groupHeader6_GroupColumn	Project_Name	City	State	groupHeader10_GroupColumn	Date_Awarded	detail_Name	detail_OrgName	Fee	Reimbursables
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	BPS Capital Advisory Services	Austin Studio 01	"141,500.00"	
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	Advisory Services	Austin Studio 01	"141,500.00"	
Start Date: 8/12/2023	Estimated Completion Date: 6/7/2024	Practice Area: K12 Education	Status: Active	Project Short Name: BPS Capital Advisory Services	City: Roxbury	State: MA	Real or Awaiting: Real	Date Awarded: 10/2/2023	Unassigned Labor & Expenses	Austin Studio 01		
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	East Side Union HSD Master Plan	San Francisco Studio 01	"348,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Project Initiation/Data Analysis	San Francisco Studio 01	"123,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Facility Standards	San Francisco Studio 01	"30,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Facility Assessments	San Francisco Studio 01	"53,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	IEQ Assessments (Optional)	San Francisco Studio 01	"30,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Master Plan Scenarios	San Francisco Studio 01	"33,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Cost Estimating	San Francisco Studio 01	"20,000.00"	
Start Date: 2/27/2024	Estimated Completion Date: 9/19/2025	Practice Area: K12 Education	Status: Active	Project Short Name: East Side Union HSD Master Plan	City: San Jose	State: CA	Real or Awaiting: Real	Date Awarded: 2/12/2024	Stakeholder Engagement	San Francisco Studio 01	"59,000.00"	
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	MPS Long Range Facilities Master Plan	Austin Studio 01	"933,028.85"	"15,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	Phase I	Austin Studio 01	"352,024.18"	"10,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	Phase II	Austin Studio 01	"250,754.67"	"5,000.00"
Start Date: 2/17/2024	Estimated Completion Date: 10/31/2025	Practice Area: K12 Education	Status: Active	Project Short Name: MPS Long Range Facilities Master Plan	City: Milwaukee	State: WI	Real or Awaiting: Real	Date Awarded: 3/4/2024	Task 1	Austin Studio 01	"239,200.00"	
